Country,CarbonMapSource,ConcessionType,TreeCoverPct,TotalCarbon_MgC,TotalCarbon_TgC,TotalCarbon_PgC,AvoidedTotalEmissions_MtCO2e,AvoidedTotalEmissions_MMtCO2e
Cambodia,ORNL,All,≥ 20%,28599627.82,28.60,0.03,104865302.01,104.87
Cambodia,ORNL,All,≥ 30%,26841049.24,26.84,0.03,98417180.54,98.42
Cambodia,ORNL,All,≥ 40%,24979046.94,24.98,0.02,91589838.79,91.59
Cambodia,ORNL,All,≥ 50%,22282784.64,22.28,0.02,81703543.68,81.70
Cambodia,ORNL,Logging/Timber,≥ 20%,3002046.11,3.00,0.00,11007502.39,11.01
Cambodia,ORNL,Logging/Timber,≥ 30%,2896407.51,2.90,0.00,10620160.87,10.62
Cambodia,ORNL,Logging/Timber,≥ 40%,2783235.59,2.78,0.00,10205197.18,10.21
Cambodia,ORNL,Logging/Timber,≥ 50%,2560897.48,2.56,0.00,9389957.42,9.39
Cambodia,ORNL,Oil Palm,≥ 20%,754359.43,0.75,0.00,2765984.57,2.77
Cambodia,ORNL,Oil Palm,≥ 30%,729462.19,0.73,0.00,2674694.68,2.67
Cambodia,ORNL,Oil Palm,≥ 40%,705840.49,0.71,0.00,2588081.81,2.59
Cambodia,ORNL,Oil Palm,≥ 50%,664296.21,0.66,0.00,2435752.77,2.44
Cambodia,ORNL,Pulp & Paper,≥ 20%,2699801.26,2.70,0.00,9899271.29,9.90
Cambodia,ORNL,Pulp & Paper,≥ 30%,2521560.03,2.52,0.00,9245720.11,9.25
Cambodia,ORNL,Pulp & Paper,≥ 40%,2359971.77,2.36,0.00,8653229.83,8.65
Cambodia,ORNL,Pulp & Paper,≥ 50%,2162807.69,2.16,0.00,7930294.85,7.93
Cambodia,ORNL,Rubber,≥ 20%,22140588.16,22.14,0.02,81182156.60,81.18
Cambodia,ORNL,Rubber,≥ 30%,20691285.18,20.69,0.02,75868045.65,75.87
Cambodia,ORNL,Rubber,≥ 40%,19128166.23,19.13,0.02,70136609.52,70.14
Cambodia,ORNL,Rubber,≥ 50%,16893498.47,16.89,0.02,61942827.71,61.94
Cambodia,ORNL,Mixed,≥ 20%,2832.86,0.00,0.00,10387.15,0.01
Cambodia,ORNL,Mixed,≥ 30%,2334.33,0.00,0.00,8559.23,0.01
Cambodia,ORNL,Mixed,≥ 40%,1832.85,0.00,0.00,6720.46,0.01
Cambodia,ORNL,Mixed,≥ 50%,1284.80,0.00,0.00,4710.93,0.00
Cambodia,WCMC,All,≥ 20%,39167032.13,39.17,0.04,143612451.16,143.61
Cambodia,WCMC,All,≥ 30%,36821798.41,36.82,0.04,135013260.84,135.01
Cambodia,WCMC,All,≥ 40%,34341780.84,34.34,0.03,125919863.10,125.92
Cambodia,WCMC,All,≥ 50%,30733539.78,30.73,0.03,112689645.85,112.69
Cambodia,WCMC,Logging/Timber,≥ 20%,4147011.67,4.15,0.00,15205709.46,15.21
Cambodia,WCMC,Logging/Timber,≥ 30%,4000426.70,4.00,0.00,14668231.23,14.67
Cambodia,WCMC,Logging/Timber,≥ 40%,3844915.08,3.84,0.00,14098021.97,14.10
Cambodia,WCMC,Logging/Timber,≥ 50%,3539920.62,3.54,0.00,12979708.95,12.98
Cambodia,WCMC,Oil Palm,≥ 20%,1101046.02,1.10,0.00,4037168.72,4.04
Cambodia,WCMC,Oil Palm,≥ 30%,1066617.00,1.07,0.00,3910928.99,3.91
Cambodia,WCMC,Oil Palm,≥ 40%,1034346.54,1.03,0.00,3792603.98,3.79
Cambodia,WCMC,Oil Palm,≥ 50%,977256.15,0.98,0.00,3583272.54,3.58
Cambodia,WCMC,Pulp & Paper,≥ 20%,3925966.13,3.93,0.00,14395209.14,14.40
Cambodia,WCMC,Pulp & Paper,≥ 30%,3676633.88,3.68,0.00,13480990.89,13.48
Cambodia,WCMC,Pulp & Paper,≥ 40%,3449955.03,3.45,0.00,12649835.11,12.65
Cambodia,WCMC,Pulp & Paper,≥ 50%,3169563.02,3.17,0.00,11621731.08,11.62
Cambodia,WCMC,Rubber,≥ 20%,29989277.01,29.99,0.03,109960682.37,109.96
Cambodia,WCMC,Rubber,≥ 30%,28075059.48,28.08,0.03,102941884.77,102.94
Cambodia,WCMC,Rubber,≥ 40%,26010182.35,26.01,0.03,95370668.62,95.37
Cambodia,WCMC,Rubber,≥ 50%,23045144.09,23.05,0.02,84498861.65,84.50
Cambodia,WCMC,Mixed,≥ 20%,3731.31,0.00,0.00,13681.46,0.01
Cambodia,WCMC,Mixed,≥ 30%,3061.35,0.00,0.00,11224.96,0.01
Cambodia,WCMC,Mixed,≥ 40%,2381.84,0.00,0.00,8733.42,0.01
Cambodia,WCMC,Mixed,≥ 50%,1655.90,0.00,0.00,6071.64,0.01
Cambodia,WHRC,All,≥ 20%,77270005.52,77.27,0.08,283323353.56,283.32
Cambodia,WHRC,All,≥ 30%,71638106.97,71.64,0.07,262673058.90,262.67
Cambodia,WHRC,All,≥ 40%,66500259.08,66.50,0.07,243834283.31,243.83
Cambodia,WHRC,All,≥ 50%,59465514.37,59.47,0.06,218040219.35,218.04
Cambodia,WHRC,Logging/Timber,≥ 20%,7064746.69,7.06,0.01,25904071.20,25.90
Cambodia,WHRC,Logging/Timber,≥ 30%,6715202.65,6.72,0.01,24622409.71,24.62
Cambodia,WHRC,Logging/Timber,≥ 40%,6371197.05,6.37,0.01,23361055.84,23.36
Cambodia,WHRC,Logging/Timber,≥ 50%,5754301.03,5.75,0.01,21099103.79,21.10
Cambodia,WHRC,Oil Palm,≥ 20%,2351552.76,2.35,0.00,8622360.12,8.62
Cambodia,WHRC,Oil Palm,≥ 30%,2267594.37,2.27,0.00,8314512.69,8.31
Cambodia,WHRC,Oil Palm,≥ 40%,2195840.88,2.20,0.00,8051416.56,8.05
Cambodia,WHRC,Oil Palm,≥ 50%,2075503.86,2.08,0.00,7610180.82,7.61
Cambodia,WHRC,Pulp & Paper,≥ 20%,6550518.23,6.55,0.01,24018566.85,24.02
Cambodia,WHRC,Pulp & Paper,≥ 30%,6038052.00,6.04,0.01,22139524.00,22.14
Cambodia,WHRC,Pulp & Paper,≥ 40%,5639887.62,5.64,0.01,20679587.95,20.68
Cambodia,WHRC,Pulp & Paper,≥ 50%,5173152.36,5.17,0.01,18968225.33,18.97
Cambodia,WHRC,Rubber,≥ 20%,61296598.84,61.30,0.06,224754195.75,224.75
Cambodia,WHRC,Rubber,≥ 30%,56612006.27,56.61,0.06,207577356.34,207.58
Cambodia,WHRC,Rubber,≥ 40%,52289226.48,52.29,0.05,191727163.74,191.73
Cambodia,WHRC,Rubber,≥ 50%,46459689.90,46.46,0.05,170352196.28,170.35
Cambodia,WHRC,Mixed,≥ 20%,6588.99,0.01,0.00,24159.63,0.02
Cambodia,WHRC,Mixed,≥ 30%,5251.68,0.01,0.00,19256.16,0.02
Cambodia,WHRC,Mixed,≥ 40%,4107.06,0.00,0.00,15059.22,0.02
Cambodia,WHRC,Mixed,≥ 50%,2867.22,0.00,0.00,10513.14,0.01
Indonesia,ORNL,All,≥ 20%,3995061520.43,3995.06,4.00,14648558908.26,14648.56
Indonesia,ORNL,All,≥ 30%,3988683790.93,3988.68,3.99,14625173900.07,14625.17
Indonesia,ORNL,All,≥ 40%,3981395923.73,3981.40,3.98,14598451720.34,14598.45
Indonesia,ORNL,All,≥ 50%,3963661310.18,3963.66,3.96,14533424804.01,14533.42
Indonesia,ORNL,Logging/Timber,≥ 20%,2942630102.84,2942.63,2.94,10789643710.40,10789.64
Indonesia,ORNL,Logging/Timber,≥ 30%,2941060977.27,2941.06,2.94,10783890249.98,10783.89
Indonesia,ORNL,Logging/Timber,≥ 40%,2939189883.44,2939.19,2.94,10777029572.60,10777.03
Indonesia,ORNL,Logging/Timber,≥ 50%,2934662089.28,2934.66,2.93,10760427660.70,10760.43
Indonesia,ORNL,Oil Palm,≥ 20%,373231136.20,373.23,0.37,1368514166.07,1368.51
Indonesia,ORNL,Oil Palm,≥ 30%,371607066.12,371.61,0.37,1362559242.42,1362.56
Indonesia,ORNL,Oil Palm,≥ 40%,369755496.26,369.76,0.37,1355770152.95,1355.77
Indonesia,ORNL,Oil Palm,≥ 50%,364865724.17,364.87,0.36,1337840988.62,1337.84
Indonesia,ORNL,Pulp & Paper,≥ 20%,504485850.45,504.49,0.50,1849781451.64,1849.78
Indonesia,ORNL,Pulp & Paper,≥ 30%,501631392.91,501.63,0.50,1839315107.35,1839.32
Indonesia,ORNL,Pulp & Paper,≥ 40%,498432614.25,498.43,0.50,1827586252.24,1827.59
Indonesia,ORNL,Pulp & Paper,≥ 50%,490990644.94,490.99,0.49,1800299031.46,1800.30
Indonesia,ORNL,Rubber,≥ 20%,0.00,0.00,0.00,0.00,0.00
Indonesia,ORNL,Rubber,≥ 30%,0.00,0.00,0.00,0.00,0.00
Indonesia,ORNL,Rubber,≥ 40%,0.00,0.00,0.00,0.00,0.00
Indonesia,ORNL,Rubber,≥ 50%,0.00,0.00,0.00,0.00,0.00
Indonesia,ORNL,Mixed,≥ 20%,174714430.95,174.71,0.17,640619580.15,640.62
Indonesia,ORNL,Mixed,≥ 30%,174384354.63,174.38,0.17,639409300.32,639.41
Indonesia,ORNL,Mixed,≥ 40%,174017929.79,174.02,0.17,638065742.56,638.07
Indonesia,ORNL,Mixed,≥ 50%,173142851.79,173.14,0.17,634857123.24,634.86
Indonesia,WCMC,All,≥ 20%,6019358736.62,6019.36,6.02,22070982034.28,22070.98
Indonesia,WCMC,All,≥ 30%,6009532065.63,6009.53,6.01,22034950907.29,22034.95
Indonesia,WCMC,All,≥ 40%,5998343636.86,5998.34,6.00,21993926668.48,21993.93
Indonesia,WCMC,All,≥ 50%,5971162699.67,5971.16,5.97,21894263232.12,21894.26
Indonesia,WCMC,Logging/Timber,≥ 20%,4436277082.97,4436.28,4.44,16266349304.23,16266.35
Indonesia,WCMC,Logging/Timber,≥ 30%,4433809586.85,4433.81,4.43,16257301818.44,16257.30
Indonesia,WCMC,Logging/Timber,≥ 40%,4430873725.06,4430.87,4.43,16246536991.90,16246.54
Indonesia,WCMC,Logging/Timber,≥ 50%,4423790209.33,4423.79,4.42,16220564100.88,16220.56
Indonesia,WCMC,Oil Palm,≥ 20%,562771600.54,562.77,0.56,2063495868.66,2063.50
Indonesia,WCMC,Oil Palm,≥ 30%,560235501.13,560.24,0.56,2054196837.49,2054.20
Indonesia,WCMC,Oil Palm,≥ 40%,557353373.71,557.35,0.56,2043629036.93,2043.63
Indonesia,WCMC,Oil Palm,≥ 50%,549780630.93,549.78,0.55,2015862313.41,2015.86
Indonesia,WCMC,Pulp & Paper,≥ 20%,756843166.57,756.84,0.76,2775091610.77,2775.09
Indonesia,WCMC,Pulp & Paper,≥ 30%,752531776.37,752.53,0.75,2759283180.04,2759.28
Indonesia,WCMC,Pulp & Paper,≥ 40%,747729756.73,747.73,0.75,2741675774.66,2741.68
Indonesia,WCMC,Pulp & Paper,≥ 50%,736564848.51,736.56,0.74,2700737777.86,2700.74
Indonesia,WCMC,Rubber,≥ 20%,0.00,0.00,0.00,0.00,0.00
Indonesia,WCMC,Rubber,≥ 30%,0.00,0.00,0.00,0.00,0.00
Indonesia,WCMC,Rubber,≥ 40%,0.00,0.00,0.00,0.00,0.00
Indonesia,WCMC,Rubber,≥ 50%,0.00,0.00,0.00,0.00,0.00
Indonesia,WCMC,Mixed,≥ 20%,263466886.53,263.47,0.26,966045250.62,966.05
Indonesia,WCMC,Mixed,≥ 30%,262955201.27,262.96,0.26,964169071.33,964.17
Indonesia,WCMC,Mixed,≥ 40%,262386781.36,262.39,0.26,962084865.00,962.08
Indonesia,WCMC,Mixed,≥ 50%,261027010.90,261.03,0.26,957099039.97,957.10
Indonesia,WHRC,All,≥ 20%,9018155766.73,9018.16,9.02,33066571144.67,33066.57
Indonesia,WHRC,All,≥ 30%,9001288098.64,9001.29,9.00,33004723028.35,33004.72
Indonesia,WHRC,All,≥ 40%,8982725423.35,8982.73,8.98,32936659885.61,32936.66
Indonesia,WHRC,All,≥ 50%,8939746273.11,8939.75,8.94,32779069668.09,32779.07
Indonesia,WHRC,Logging/Timber,≥ 20%,6765763397.07,6765.76,6.77,24807799122.58,24807.80
Indonesia,WHRC,Logging/Timber,≥ 30%,6761340331.68,6761.34,6.76,24791581216.17,24791.58
Indonesia,WHRC,Logging/Timber,≥ 40%,6756075489.72,6756.08,6.76,24772276795.66,24772.28
Indonesia,WHRC,Logging/Timber,≥ 50%,6743915550.82,6743.92,6.74,24727690353.02,24727.69
Indonesia,WHRC,Oil Palm,≥ 20%,761797576.52,761.80,0.76,2793257780.59,2793.26
Indonesia,WHRC,Oil Palm,≥ 30%,757398942.96,757.40,0.76,2777129457.51,2777.13
Indonesia,WHRC,Oil Palm,≥ 40%,752667573.53,752.67,0.75,2759781102.96,2759.78
Indonesia,WHRC,Oil Palm,≥ 50%,740999896.05,741.00,0.74,2716999618.86,2717.00
Indonesia,WHRC,Pulp & Paper,≥ 20%,1108559289.15,1108.56,1.11,4064717393.57,4064.72
Indonesia,WHRC,Pulp & Paper,≥ 30%,1101573904.68,1101.57,1.10,4039104317.16,4039.10
Indonesia,WHRC,Pulp & Paper,≥ 40%,1094125744.14,1094.13,1.09,4011794395.17,4011.79
Indonesia,WHRC,Pulp & Paper,≥ 50%,1077436771.75,1077.44,1.08,3950601496.40,3950.60
Indonesia,WHRC,Rubber,≥ 20%,0.00,0.00,0.00,0.00,0.00
Indonesia,WHRC,Rubber,≥ 30%,0.00,0.00,0.00,0.00,0.00
Indonesia,WHRC,Rubber,≥ 40%,0.00,0.00,0.00,0.00,0.00
Indonesia,WHRC,Rubber,≥ 50%,0.00,0.00,0.00,0.00,0.00
Indonesia,WHRC,Mixed,≥ 20%,382035503.98,382.04,0.38,1400796847.93,1400.80
Indonesia,WHRC,Mixed,≥ 30%,380974919.32,380.97,0.38,1396908037.51,1396.91
Indonesia,WHRC,Mixed,≥ 40%,379856615.95,379.86,0.38,1392807591.82,1392.81
Indonesia,WHRC,Mixed,≥ 50%,377394054.49,377.39,0.38,1383778199.80,1383.78
Malaysia,ORNL,All,≥ 20%,690711285.0,690.71,0.69,2532608044.96,2532.61
Malaysia,ORNL,All,≥ 30%,689607638.2,689.61,0.69,2528561340.08,2528.56
Malaysia,ORNL,All,≥ 40%,688398543.0,688.40,0.69,2524127991.02,2524.13
Malaysia,ORNL,All,≥ 50%,685881465.2,685.88,0.69,2514898705.83,2514.90
Malaysia,ORNL,Logging/Timber,≥ 20%,437003504.9,437.00,0.44,1602346184.45,1602.35
Malaysia,ORNL,Logging/Timber,≥ 30%,436355997.9,436.36,0.44,1599971992.29,1599.97
Malaysia,ORNL,Logging/Timber,≥ 40%,435654675.5,435.65,0.44,1597400476.96,1597.40
Malaysia,ORNL,Logging/Timber,≥ 50%,434173032.3,434.17,0.43,1591967784.93,1591.97
Malaysia,ORNL,Oil Palm,≥ 20%,29271897.0,29.27,0.03,107330288.94,107.33
Malaysia,ORNL,Oil Palm,≥ 30%,29197692.4,29.20,0.03,107058205.36,107.06
Malaysia,ORNL,Oil Palm,≥ 40%,29114842.1,29.11,0.03,106754421.07,106.75
Malaysia,ORNL,Oil Palm,≥ 50%,28944470.2,28.94,0.03,106129724.25,106.13
Malaysia,ORNL,Pulp & Paper,≥ 20%,49125760.5,49.13,0.05,180127788.45,180.13
Malaysia,ORNL,Pulp & Paper,≥ 30%,49040117.4,49.04,0.05,179813763.74,179.81
Malaysia,ORNL,Pulp & Paper,≥ 40%,48946276.0,48.95,0.05,179469678.73,179.47
Malaysia,ORNL,Pulp & Paper,≥ 50%,48755626.3,48.76,0.05,178770629.84,178.77
Malaysia,ORNL,Rubber,≥ 20%,0.0,0.00,0.00,0.00,0.00
Malaysia,ORNL,Rubber,≥ 30%,0.0,0.00,0.00,0.00,0.00
Malaysia,ORNL,Rubber,≥ 40%,0.0,0.00,0.00,0.00,0.00
Malaysia,ORNL,Rubber,≥ 50%,0.0,0.00,0.00,0.00,0.00
Malaysia,ORNL,Mixed,≥ 20%,175310122.7,175.31,0.18,642803783.12,642.80
Malaysia,ORNL,Mixed,≥ 30%,175013830.6,175.01,0.18,641717378.68,641.72
Malaysia,ORNL,Mixed,≥ 40%,174682749.3,174.68,0.17,640503414.25,640.50
Malaysia,ORNL,Mixed,≥ 50%,174008336.4,174.01,0.17,638030566.81,638.03
Malaysia,WCMC,All,≥ 20%,1042777744.9,1042.78,1.04,3823518398.07,3823.52
Malaysia,WCMC,All,≥ 30%,1041068560.6,1041.07,1.04,3817251388.97,3817.25
Malaysia,WCMC,All,≥ 40%,1039194407.5,1039.19,1.04,3810379494.17,3810.38
Malaysia,WCMC,All,≥ 50%,1035299577.0,1035.30,1.04,3796098448.88,3796.10
Malaysia,WCMC,Logging/Timber,≥ 20%,659928713.8,659.93,0.66,2419738617.33,2419.74
Malaysia,WCMC,Logging/Timber,≥ 30%,658929409.4,658.93,0.66,2416074500.96,2416.07
Malaysia,WCMC,Logging/Timber,≥ 40%,657846395.8,657.85,0.66,2412103451.29,2412.10
Malaysia,WCMC,Logging/Timber,≥ 50%,655561755.9,655.56,0.66,2403726438.41,2403.73
Malaysia,WCMC,Oil Palm,≥ 20%,44085433.4,44.09,0.04,161646589.03,161.65
Malaysia,WCMC,Oil Palm,≥ 30%,43968250.4,43.97,0.04,161216917.95,161.22
Malaysia,WCMC,Oil Palm,≥ 40%,43838931.1,43.84,0.04,160742747.46,160.74
Malaysia,WCMC,Oil Palm,≥ 50%,43572530.5,43.57,0.04,159765945.23,159.77
Malaysia,WCMC,Pulp & Paper,≥ 20%,74123877.8,74.12,0.07,271787551.97,271.79
Malaysia,WCMC,Pulp & Paper,≥ 30%,73990129.3,73.99,0.07,271297140.89,271.30
Malaysia,WCMC,Pulp & Paper,≥ 40%,73840953.4,73.84,0.07,270750162.51,270.75
Malaysia,WCMC,Pulp & Paper,≥ 50%,73541449.6,73.54,0.07,269651982.01,269.65
Malaysia,WCMC,Rubber,≥ 20%,0.0,0.00,0.00,0.00,0.00
Malaysia,WCMC,Rubber,≥ 30%,0.0,0.00,0.00,0.00,0.00
Malaysia,WCMC,Rubber,≥ 40%,0.0,0.00,0.00,0.00,0.00
Malaysia,WCMC,Rubber,≥ 50%,0.0,0.00,0.00,0.00,0.00
Malaysia,WCMC,Mixed,≥ 20%,264639719.9,264.64,0.26,970345639.74,970.35
Malaysia,WCMC,Mixed,≥ 30%,264180771.6,264.18,0.26,968662829.17,968.66
Malaysia,WCMC,Mixed,≥ 40%,263668127.2,263.67,0.26,966783132.91,966.78
Malaysia,WCMC,Mixed,≥ 50%,262623840.9,262.62,0.26,962954083.23,962.95
Malaysia,WHRC,All,≥ 20%,1624589067.5,1624.59,1.62,5956826580.79,5956.83
Malaysia,WHRC,All,≥ 30%,1621700142.7,1621.70,1.62,5946233856.67,5946.23
Malaysia,WHRC,All,≥ 40%,1618570159.7,1618.57,1.62,5934757252.28,5934.76
Malaysia,WHRC,All,≥ 50%,1612087257.7,1612.09,1.61,5910986611.51,5910.99
Malaysia,WHRC,Logging/Timber,≥ 20%,1045360846.4,1045.36,1.05,3832989769.97,3832.99
Malaysia,WHRC,Logging/Timber,≥ 30%,1043673165.6,1043.67,1.04,3826801607.14,3826.80
Malaysia,WHRC,Logging/Timber,≥ 40%,1041862458.4,1041.86,1.04,3820162347.46,3820.16
Malaysia,WHRC,Logging/Timber,≥ 50%,1038043739.8,1038.04,1.04,3806160379.39,3806.16
Malaysia,WHRC,Oil Palm,≥ 20%,57972509.3,57.97,0.06,212565867.51,212.57
Malaysia,WHRC,Oil Palm,≥ 30%,57791142.5,57.79,0.06,211900855.94,211.90
Malaysia,WHRC,Oil Palm,≥ 40%,57590102.6,57.59,0.06,211163709.37,211.16
Malaysia,WHRC,Oil Palm,≥ 50%,57180539.0,57.18,0.06,209661976.46,209.66
Malaysia,WHRC,Pulp & Paper,≥ 20%,106016947.7,106.02,0.11,388728808.37,388.73
Malaysia,WHRC,Pulp & Paper,≥ 30%,105790634.1,105.79,0.11,387898991.75,387.90
Malaysia,WHRC,Pulp & Paper,≥ 40%,105542930.9,105.54,0.11,386990746.66,386.99
Malaysia,WHRC,Pulp & Paper,≥ 50%,105052118.4,105.05,0.11,385191100.90,385.19
Malaysia,WHRC,Rubber,≥ 20%,0.0,0.00,0.00,0.00,0.00
Malaysia,WHRC,Rubber,≥ 30%,0.0,0.00,0.00,0.00,0.00
Malaysia,WHRC,Rubber,≥ 40%,0.0,0.00,0.00,0.00,0.00
Malaysia,WHRC,Rubber,≥ 50%,0.0,0.00,0.00,0.00,0.00
Malaysia,WHRC,Mixed,≥ 20%,415238764.1,415.24,0.42,1522542134.94,1522.54
Malaysia,WHRC,Mixed,≥ 30%,414445200.5,414.45,0.41,1519632401.85,1519.63
Malaysia,WHRC,Mixed,≥ 40%,413574667.9,413.57,0.41,1516440448.80,1516.44
Malaysia,WHRC,Mixed,≥ 50%,411810860.4,411.81,0.41,1509973154.75,1509.97
Myanmar,ORNL,All,≥ 20%,10518454.68,10.52,0.01,38567667.15,38.57
Myanmar,ORNL,All,≥ 30%,10500742.09,10.50,0.01,38502721.00,38.50
Myanmar,ORNL,All,≥ 40%,10485562.86,10.49,0.01,38447063.82,38.45
Myanmar,ORNL,All,≥ 50%,10437190.72,10.44,0.01,38269699.32,38.27
Myanmar,ORNL,Logging/Timber,≥ 20%,0.00,0.00,0.00,0.00,0.00
Myanmar,ORNL,Logging/Timber,≥ 30%,0.00,0.00,0.00,0.00,0.00
Myanmar,ORNL,Logging/Timber,≥ 40%,0.00,0.00,0.00,0.00,0.00
Myanmar,ORNL,Logging/Timber,≥ 50%,0.00,0.00,0.00,0.00,0.00
Myanmar,ORNL,Oil Palm,≥ 20%,10518454.68,10.52,0.01,38567667.15,38.57
Myanmar,ORNL,Oil Palm,≥ 30%,10500742.09,10.50,0.01,38502721.00,38.50
Myanmar,ORNL,Oil Palm,≥ 40%,10485562.86,10.49,0.01,38447063.82,38.45
Myanmar,ORNL,Oil Palm,≥ 50%,10437190.72,10.44,0.01,38269699.32,38.27
Myanmar,ORNL,Pulp & Paper,≥ 20%,0.00,0.00,0.00,0.00,0.00
Myanmar,ORNL,Pulp & Paper,≥ 30%,0.00,0.00,0.00,0.00,0.00
Myanmar,ORNL,Pulp & Paper,≥ 40%,0.00,0.00,0.00,0.00,0.00
Myanmar,ORNL,Pulp & Paper,≥ 50%,0.00,0.00,0.00,0.00,0.00
Myanmar,ORNL,Rubber,≥ 20%,0.00,0.00,0.00,0.00,0.00
Myanmar,ORNL,Rubber,≥ 30%,0.00,0.00,0.00,0.00,0.00
Myanmar,ORNL,Rubber,≥ 40%,0.00,0.00,0.00,0.00,0.00
Myanmar,ORNL,Rubber,≥ 50%,0.00,0.00,0.00,0.00,0.00
Myanmar,ORNL,Mixed,≥ 20%,0.00,0.00,0.00,0.00,0.00
Myanmar,ORNL,Mixed,≥ 30%,0.00,0.00,0.00,0.00,0.00
Myanmar,ORNL,Mixed,≥ 40%,0.00,0.00,0.00,0.00,0.00
Myanmar,ORNL,Mixed,≥ 50%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,All,≥ 20%,15820375.56,15.82,0.02,58008043.72,58.01
Myanmar,WCMC,All,≥ 30%,15793571.28,15.79,0.02,57909761.35,57.91
Myanmar,WCMC,All,≥ 40%,15770382.59,15.77,0.02,57824736.18,57.82
Myanmar,WCMC,All,≥ 50%,15697213.64,15.70,0.02,57556450.00,57.56
Myanmar,WCMC,Logging/Timber,≥ 20%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,Logging/Timber,≥ 30%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,Logging/Timber,≥ 40%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,Logging/Timber,≥ 50%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,Oil Palm,≥ 20%,15820375.56,15.82,0.02,58008043.72,58.01
Myanmar,WCMC,Oil Palm,≥ 30%,15793571.28,15.79,0.02,57909761.35,57.91
Myanmar,WCMC,Oil Palm,≥ 40%,15770382.59,15.77,0.02,57824736.18,57.82
Myanmar,WCMC,Oil Palm,≥ 50%,15697213.64,15.70,0.02,57556450.00,57.56
Myanmar,WCMC,Pulp & Paper,≥ 20%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,Pulp & Paper,≥ 30%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,Pulp & Paper,≥ 40%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,Pulp & Paper,≥ 50%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,Rubber,≥ 20%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,Rubber,≥ 30%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,Rubber,≥ 40%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,Rubber,≥ 50%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,Mixed,≥ 20%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,Mixed,≥ 30%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,Mixed,≥ 40%,0.00,0.00,0.00,0.00,0.00
Myanmar,WCMC,Mixed,≥ 50%,0.00,0.00,0.00,0.00,0.00
Myanmar,WHRC,All,≥ 20%,43128957.01,43.13,0.04,158139509.02,158.14
Myanmar,WHRC,All,≥ 30%,43049072.64,43.05,0.04,157846599.67,157.85
Myanmar,WHRC,All,≥ 40%,42977888.85,42.98,0.04,157585592.43,157.59
Myanmar,WHRC,All,≥ 50%,42753860.13,42.75,0.04,156764153.80,156.76
Myanmar,WHRC,Logging/Timber,≥ 20%,0.00,0.00,0.00,0.00,0.00
Myanmar,WHRC,Logging/Timber,≥ 30%,0.00,0.00,0.00,0.00,0.00
Myanmar,WHRC,Logging/Timber,≥ 40%,0.00,0.00,0.00,0.00,0.00
Myanmar,WHRC,Logging/Timber,≥ 50%,0.00,0.00,0.00,0.00,0.00
Myanmar,WHRC,Oil Palm,≥ 20%,43128957.01,43.13,0.04,158139509.02,158.14
Myanmar,WHRC,Oil Palm,≥ 30%,43049072.64,43.05,0.04,157846599.67,157.85
Myanmar,WHRC,Oil Palm,≥ 40%,42977888.85,42.98,0.04,157585592.43,157.59
Myanmar,WHRC,Oil Palm,≥ 50%,42753860.13,42.75,0.04,156764153.80,156.76
Myanmar,WHRC,Pulp & Paper,≥ 20%,0.00,0.00,0.00,0.00,0.00
Myanmar,WHRC,Pulp & Paper,≥ 30%,0.00,0.00,0.00,0.00,0.00
Myanmar,WHRC,Pulp & Paper,≥ 40%,0.00,0.00,0.00,0.00,0.00
Myanmar,WHRC,Pulp & Paper,≥ 50%,0.00,0.00,0.00,0.00,0.00
Myanmar,WHRC,Rubber,≥ 20%,0.00,0.00,0.00,0.00,0.00
Myanmar,WHRC,Rubber,≥ 30%,0.00,0.00,0.00,0.00,0.00
Myanmar,WHRC,Rubber,≥ 40%,0.00,0.00,0.00,0.00,0.00
Myanmar,WHRC,Rubber,≥ 50%,0.00,0.00,0.00,0.00,0.00
Myanmar,WHRC,Mixed,≥ 20%,0.00,0.00,0.00,0.00,0.00
Myanmar,WHRC,Mixed,≥ 30%,0.00,0.00,0.00,0.00,0.00
Myanmar,WHRC,Mixed,≥ 40%,0.00,0.00,0.00,0.00,0.00
Myanmar,WHRC,Mixed,≥ 50%,0.00,0.00,0.00,0.00,0.00